Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,22.240000,22.299999,21.860001,22.090000,18.433125,9145100
2016-01-05,22.180000,22.420000,21.950001,21.950001,18.316298,7642100
2016-01-06,21.660000,21.709999,21.260000,21.340000,17.807278,8063200
2016-01-07,20.879999,21.379999,20.820000,21.100000,17.607012,11242800
2016-01-08,21.270000,21.400000,20.770000,20.809999,17.365019,9290700
2016-01-11,21.170000,21.250000,20.700001,20.930000,17.465155,9771200
2016-01-12,21.230000,21.240000,20.510000,20.750000,17.314951,11629400
2016-01-13,20.900000,21.070000,20.450001,20.480000,17.089649,12858400
2016-01-14,20.730000,21.870001,20.700001,21.820000,18.207823,18687600
2016-01-15,20.559999,21.280001,20.559999,21.100000,17.607012,12066200
2016-01-19,21.629999,21.799999,21.230000,21.660000,18.074306,14807000
2016-01-20,20.840000,21.209999,20.740000,21.090000,17.598669,10815300
2016-01-21,21.150000,21.469999,20.850000,21.330000,17.798937,9105000
2016-01-22,21.760000,21.950001,21.620001,21.930000,18.299608,8369200
2016-01-25,21.709999,22.070000,21.700001,21.790001,18.182787,8463700
2016-01-26,21.780001,21.860001,21.500000,21.590000,18.015898,7709700
2016-01-27,21.719999,22.000000,21.610001,21.680000,18.090994,6432800
2016-01-28,21.780001,21.870001,21.480000,21.629999,18.049276,7169000
2016-01-29,21.870001,22.400000,21.870001,22.350000,18.650080,9010200
