Date,Open,High,Low,Close,Adj Close,Volume
2015-01-05,9292.309570,9292.309570,9182.019531,9274.110352,9274.068359,2311000
2015-01-06,9209.929688,9209.929688,9043.440430,9048.339844,9048.298828,2725800
2015-01-07,9051.940430,9108.660156,9050.540039,9080.089844,9080.047852,2384100
2015-01-08,9154.030273,9246.620117,9154.030273,9238.030273,9237.988281,2657600
2015-01-09,9247.400391,9284.570313,9215.580078,9215.580078,9215.538086,2398800
2015-01-12,9198.019531,9229.650391,9178.299805,9178.299805,9178.257813,2205700
2015-01-13,9162.769531,9253.820313,9161.709961,9231.799805,9231.757813,2324800
2015-01-14,9235.900391,9242.200195,9161.709961,9180.230469,9180.188477,2271500
2015-01-15,9197.320313,9219.429688,9149.099609,9165.089844,9165.047852,2210200
2015-01-16,9245.769531,9256.860352,9109.459961,9138.290039,9138.248047,2591100
2015-01-19,9183.759766,9247.089844,9151.820313,9174.059570,9174.017578,1893500
2015-01-20,9188.759766,9259.309570,9177.480469,9251.690430,9251.648438,1795000
2015-01-21,9283.790039,9319.709961,9275.679688,9319.709961,9319.667969,2174400
2015-01-22,9336.809570,9386.559570,9336.809570,9369.509766,9369.467773,2387200
2015-01-23,9422.000000,9471.799805,9422.000000,9470.940430,9470.897461,2647100
2015-01-26,9474.559570,9478.530273,9436.469727,9477.669922,9477.626953,1906500
2015-01-27,9505.559570,9523.730469,9471.190430,9521.589844,9521.546875,1875400
2015-01-28,9503.200195,9515.290039,9471.309570,9510.919922,9510.876953,1784400
2015-01-29,9479.360352,9482.129883,9403.750000,9426.900391,9426.858398,1849600
2015-01-30,9452.849609,9466.650391,9361.910156,9361.910156,9361.868164,2041700
