Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,8618.599609,8632.809570,8587.540039,8612.540039,8612.500000,2537600
2014-01-03,8584.740234,8584.740234,8537.860352,8546.540039,8546.500000,2539700
2014-01-06,8553.000000,8568.240234,8488.639648,8500.009766,8499.969727,2640100
2014-01-07,8515.360352,8547.190430,8512.299805,8512.299805,8512.259766,2598900
2014-01-08,8548.610352,8587.080078,8548.610352,8556.009766,8555.969727,3206300
2014-01-09,8555.799805,8569.110352,8506.019531,8514.679688,8514.639648,3819600
2014-01-10,8559.179688,8559.179688,8521.500000,8529.349609,8529.309570,2730100
2014-01-13,8587.490234,8607.230469,8558.959961,8566.200195,8566.160156,2662700
2014-01-14,8545.459961,8568.309570,8523.459961,8548.139648,8548.099609,2289900
2014-01-15,8567.809570,8619.559570,8567.809570,8602.549805,8602.509766,2869000
2014-01-16,8653.540039,8668.950195,8610.240234,8612.110352,8612.070313,2832700
2014-01-17,8628.490234,8628.860352,8580.490234,8596.000000,8595.959961,2288800
2014-01-20,8595.589844,8636.209961,8584.500000,8621.559570,8621.519531,2277900
2014-01-21,8639.709961,8650.139648,8599.900391,8599.900391,8599.860352,2478200
2014-01-22,8598.980469,8633.570313,8596.990234,8625.299805,8625.259766,2141700
2014-01-23,8644.559570,8647.870117,8595.099609,8595.099609,8595.059570,2056700
2014-01-24,8581.490234,8608.639648,8577.139648,8598.309570,8598.269531,1936800
2014-01-27,8519.480469,8519.480469,8442.190430,8462.570313,8462.530273,2605100
2014-02-05,8290.169922,8313.830078,8230.459961,8264.480469,8264.440430,3156100
2014-02-06,8286.160156,8333.559570,8284.769531,8311.009766,8310.969727,2451100
2014-02-07,8383.990234,8409.030273,8356.929688,8387.349609,8387.309570,2427200
2014-02-10,8416.419922,8447.019531,8391.950195,8391.950195,8391.910156,2048200
2014-02-11,8413.860352,8439.330078,8401.540039,8430.559570,8430.519531,1955500
2014-02-12,8471.509766,8510.870117,8471.509766,8510.870117,8510.830078,2388700
2014-02-13,8506.219727,8511.019531,8467.700195,8467.700195,8467.660156,2100200
2014-02-14,8524.540039,8566.990234,8508.240234,8513.679688,8513.639648,2340800
2014-02-17,8537.830078,8558.500000,8512.599609,8519.549805,8519.509766,1889000
2014-02-18,8530.809570,8556.230469,8506.059570,8556.230469,8556.190430,1903400
2014-02-19,8565.059570,8577.009766,8543.150391,8577.009766,8576.969727,2203700
2014-02-20,8555.269531,8567.500000,8513.080078,8524.620117,8524.580078,2399900
2014-02-21,8571.290039,8612.080078,8571.290039,8601.860352,8601.820313,2588600
2014-02-24,8603.610352,8612.209961,8541.650391,8560.610352,8560.570313,2464800
2014-02-25,8581.139648,8598.730469,8564.509766,8575.620117,8575.580078,2395800
2014-02-26,8569.040039,8626.679688,8563.870117,8600.860352,8600.820313,2598300
2014-02-27,8626.509766,8647.900391,8615.410156,8639.580078,8639.540039,2515200
2014-03-03,8627.150391,8628.049805,8545.240234,8601.980469,8601.940430,2549200
2014-03-04,8583.580078,8595.589844,8554.540039,8554.540039,8554.500000,2380400
2014-03-05,8622.190430,8652.219727,8622.190430,8632.929688,8632.889648,2453300
2014-03-06,8660.290039,8719.169922,8660.290039,8713.790039,8713.750000,2719200
2014-03-07,8754.740234,8787.620117,8698.599609,8713.959961,8713.919922,3139500
2014-03-10,8706.429688,8712.879883,8651.540039,8665.240234,8665.200195,2100000
2014-03-11,8694.959961,8716.309570,8684.629883,8702.330078,8702.290039,2194700
2014-03-12,8671.400391,8684.730469,8651.990234,8684.730469,8684.690430,2232300
2014-03-13,8737.809570,8768.660156,8732.150391,8747.790039,8747.750000,2708000
2014-03-14,8697.730469,8709.559570,8677.809570,8687.629883,8687.589844,2247300
2014-03-17,8697.259766,8708.400391,8662.490234,8700.099609,8700.059570,2240400
2014-03-18,8747.379883,8759.549805,8713.509766,8731.940430,8731.900391,2490300
2014-03-19,8745.019531,8749.799805,8682.750000,8689.459961,8689.419922,2362300
2014-03-20,8638.589844,8638.589844,8580.400391,8597.330078,8597.290039,2381800
2014-03-21,8642.820313,8642.820313,8562.570313,8577.169922,8577.129883,2469800
2014-03-24,8540.269531,8605.379883,8508.009766,8605.379883,8605.339844,1978400
2014-03-25,8589.190430,8689.299805,8589.190430,8689.299805,8689.259766,2018100
2014-03-26,8741.030273,8746.709961,8717.790039,8737.269531,8737.229492,2308500
2014-03-27,8737.559570,8780.419922,8723.820313,8779.570313,8779.530273,2333300
2014-03-28,8779.910156,8812.410156,8751.070313,8774.639648,8774.599609,2284900
2014-03-31,8802.929688,8849.280273,8769.969727,8849.280273,8849.240234,2044700
2014-04-01,8847.339844,8873.150391,8826.160156,8873.150391,8873.110352,2291600
2014-04-02,8906.519531,8922.790039,8883.139648,8905.450195,8905.409180,2439600
2014-04-03,8902.940430,8913.740234,8871.160156,8888.540039,8888.499023,2584100
2014-04-07,8844.910156,8876.440430,8828.589844,8876.440430,8876.399414,2350400
2014-04-08,8878.879883,8899.120117,8860.700195,8888.250000,8888.208984,2079300
2014-04-09,8912.389648,8936.570313,8912.389648,8930.570313,8930.529297,2341700
2014-04-10,8964.339844,8978.519531,8898.299805,8948.099609,8948.058594,2782700
2014-04-11,8900.129883,8909.969727,8848.240234,8908.049805,8908.008789,2296800
2014-04-14,8897.230469,8899.509766,8852.660156,8857.419922,8857.379883,1785900
2014-04-15,8898.650391,8918.940430,8889.440430,8916.709961,8916.668945,2081400
2014-04-16,8921.070313,8968.559570,8894.290039,8923.820313,8923.779297,2175300
2014-04-17,8942.230469,8962.660156,8921.559570,8944.160156,8944.119141,2287200
2014-04-18,8994.769531,9002.700195,8945.559570,8966.660156,8966.619141,1853200
